,종목명,현재가,거래량,자본금(백만원),자본총계(백만원),영업이익증가율,영업이익(원),매출액영업이익률,EBITDA(백만원),시가총액,배당수익률,부채비율,이자보상비율,결산년월,PBR,PSR,PCR,PER,ROE,PBR_rank,PSR_rank,PCR_rank,PER_rank,DIV_rank,rank_tot
698,유니퀘스트,10500.0,90457.0,13667.0,321131,31.309999465942383,9010000000.0,2.240000009536743,12167.0,2870.0,1.190000057220459,60.540000915527344,7.860000133514404,202012,1.118925831202046,0.5657937277723892,15.885022692889562,6.599999904632568,10.800000190734863,239.0,218.0,401.0,209.0,210.0,1067.0
92,삼부토건,1855.0,1403455.0,137556.0,317928,0.0,-7849000000.0,-2.059999942779541,4294960389.0,2552.0,0.0,169.9199981689453,0.0,202012,1.2458025520483547,0.6784930504754938,41.22222222222222,0.0,-8.729999542236328,261.0,251.0,490.0,68.0,444.0,1070.0
282,신성통상,3760.0,1477289.0,71854.0,1101696,79.33999633789062,74322000000.0,6.190000057220459,139553.0,5403.0,0.0,239.0500030517578,3.819999933242798,202106,2.0390455531453364,0.4502994011976048,3.4782608695652173,18.799999237060547,11.619999885559082,381.0,172.0,143.0,374.0,444.0,1070.0
414,우리종금,997.0,12028020.0,437101.0,1347263,27.610000610351562,68746000000.0,26.81999969482422,71583.0,8716.0,1.0,719.1799926757812,0.0,202012,1.5457364341085271,3.003012048192771,-99.7,10.600000381469727,14.050000190734863,330.0,456.0,7.0,281.0,237.0,1074.0
561,WISCOM,3650.0,126573.0,7663.0,26467,0.0,-1721000000.0,-1.6799999475479126,2031.0,559.0,1.3600000143051147,11.9399995803833,0.0,202012,0.4734725645349591,0.5013047658288696,14.092664092664092,43.45000076293945,-0.8500000238418579,29.0,195.0,390.0,464.0,187.5,1078.0
595,비케이탑스,2880.0,366273.0,7548.0,338594,0.0,-3417000000.0,-34.66999816894531,4294964796.0,435.0,0.0,200.3699951171875,0.0,202012,7.783783783783784,3.0868167202572345,-7.977839335180056,0.0,-152.91000366210938,514.0,457.0,41.0,68.0,444.0,1080.0
382,동양철관,1310.0,508562.0,59442.0,282894,100.0,7418000000.0,4.260000228881836,13756.0,1557.0,0.0,75.27999877929688,6.659999847412109,202012,1.8169209431345354,0.9555069292487236,10.076923076923077,0.0,8.40999984741211,365.0,309.0,339.0,68.0,444.0,1081.0
881,다이나믹디자인,468.0,505949.0,79144.0,85205,0.0,-9789000000.0,-12.75,4294966283.0,741.0,0.0,135.44000244140625,0.0,202012,1.1498771498771498,0.9669421487603306,26.0,0.0,-90.20999908447266,244.0,313.0,457.0,68.0,444.0,1082.0
205,넥스트사이언스,16000.0,983047.0,21007.0,4091593,0.0,-14183000000.0,-40.09000015258789,4294958150.0,6723.0,0.0,77.62999725341797,0.0,202012,6.085964244960061,13.92515230635335,-83.33333333333333,0.0,-41.40999984741211,502.0,505.0,8.0,68.0,444.0,1083.0
528,광전자,3130.0,343142.0,28971.0,159758,0.0,-7841000000.0,-5.21999979019165,1661.0,1814.0,1.590000033378601,20.920000076293945,0.0,202012,0.8806978052898143,1.1194563662374821,35.56818181818182,0.0,-7.559999942779541,184.0,348.0,484.0,68.0,163.0,1084.0
